ID,Research Group,Contributors,Year,Expr1,Date,Time,Sreg2,Reg2#, Narative Location,Dec Lat,Dec Long,QL#,QR#,QF#,Photographer 1,Roll 1,Frames 1,Best Left,Best Right,Best Fluke,Comment
6,NMML,,2008,7,7/26/2008,7:38,SOR,3,"Humbug Mountain, off",42.6766,-124.4566,2,2,2,Merrill Gosho,BlancoJul26pjg,268-286,DSC_0273,DCS_0271,DSC_0274,"Previously ER A and ER Z, now reconciled"
6,NMML,,2004,7,7/14/2004,,SOR,3,Orford Reef,42.7886,-124.6005,3,3,,Pat Gearn,04PG-2,29-36,04PG-2-33,04PG-2-30,,
14,NMML,,2001,7,7/27/2001,,NWA,6,"Yellow Bnk, 2 mi. S of",48.07983333,-124.7115,3,3,,PJG,1,7-20,,,,
15,NMML,,2001,7,7/6/2001,,SVI,10,"Klanawa Rv mouth, W of",48.69766667,-124.9761667,2,,,MG,"16,17","30-E,1-14a",,,,
15,NMML,,2000,8,8/19/2000,16:22,WVI,11,"Inner Bajo Reef, W end of",49.6055,-126.8588333,2,,,MG,15/16,"1-37,1-37",,,,
15,NMML,,2000,8,8/20/2000,10:58,WVI,11,Perez Rocks,49.42983333,-126.5943333,1,,,MG,18/19,"1-37,1-36a",,,,
15,NMML,,1999,8,8/4/1999,18:44,SVI,10,WEST OF PACHENA PT,48.73366667,-125.123,2,2,,MG,12,01-14,,,,
15,NMML,,1999,8,8/14/1999,,SVI,10,"TSUSIAT PT., IN 34' WATER",48.6795,-124.911,2,2,,MG,29,01-12,,CRC-ER-0015RB.jpg,,Added late
15,NMML,N,1998,7,7/16/1998,,NWA,6,Greenbank,48.35,-124.7,2,3,,PG,7,"09,15",,,,
15,NMML,N,1998,7,7/1/1998,,SVI,10,Tsusiat Falls,48.684,-124.9176667,3,3,,PG,"3,R4","34A,1",,,,
15,NMML,,1997,9,9/6/1997,14:07,SJF,7,0,48.30066667,-124.417,,,,MG,"21,",21-,,,,
15,NMML,,1997,9,9/28/1997,18:14,SJF,7,0,48.368,-124.584,,,,MG,25,9-1,,,,
15,NMML,,1997,9,9/29/1997,9:03,SJF,7,0,48.36716667,-124.5676667,,,,MG,25,14-,,,,
15,NMML,,1997,9,9/29/1997,14:06,SJF,7,0,48.35116667,-124.5348333,,,,MG,25,32-,,,,
15,NMML,,1997,9,9/29/1997,14:38,SJF,7,0,48.3515,-124.5346667,,,,MG,26,2-7,,,,
15,NMML,,1997,9,9/29/1997,15:18,SJF,7,0,48.35116667,-124.5503333,,,,MG,26,8-1,,,,
15,NMML,,1997,9,9/30/1997,10:22,SJF,7,0,48.31783333,-124.467,,,,MG,26,17-,,,,
15,NMML,,1997,9,9/20/1997,13:00,SJF,7,0,48.31766667,-124.4515,,,,PJG,12,10A,,,,
21,NMML,,2000,6,6/2/2000,13:12,NPS,9,"Gedney Island & Everret Jetty, Between and then little further N",48,-122.2666667,,2,,MG,6,1a-28a,,,,
21,NMML,,1999,5,5/21/1999,,NPS,9,ELGER BAY,48.11916667,-122.4678333,2,1,3,MG,3,10-37,,,,
22,NMML,,2000,6,6/2/2000,17:40,NPS,9,"Langley, Whidbey Island, S of",48.03416667,-122.4166667,2,2,3,MG,8,1-37,,,,
22,NMML,,2000,6,6/2/2000,14:57,NPS,9,"Camano Is,  Langley, Whidbey Island, S tip of, and  S of ",48.03333333,-122.3666667,3,,3,MG,7,1-37,,,,
22,NMML,,1999,5,5/21/1999,,NPS,9,ELGER BAY,48.11916667,-122.4678333,2,2,2,MG,3,10-37,,,,
