Survey Date,Initials,Region,Area Covered,Dist (nm) ,Time (hr),# Er seen,# Er photographed,Location of sighting,Comments
3/21/2000,PJG ,SJF,GB to Tatoosh,6,0.5,1,0,Midway,
3/21/2000,PJG ,SJF,Tatoosh to GB,6,0.5,1,0,off Jetty,
3/21/2000,PJG ,SJF,GB to Sekiu,13.5,1.5,0,0,,
3/21/2000,PJG ,SJF,Sekiu to GB,13.5,1.5,1,1,Sail Rock,
4/19/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
4/19/2000,PJG ,SJF,Tatoosh to GB,6,0.5,1,0,East of gut-WSJF,
4/19/2000,PJG ,SJF,GB to Rasmussen Creek,4.75,0.5,1,1,Sail Rock,
5/4/2000,MG/PG,SJF,GB to Rasmussen Creek,5,0.5,2,2,3rd Beach and Rasmussen Creek,NB-48;Shortraker
5/5/2000,MG ,SJF,GB to Tatoosh,6,0.5,0,0,,rough ocean
5/15/2000,MG,SJF,GB to W.Tatoosh to Slip Pt to GB,44,3.32,1,1,Seal Rock,1 orca off Waadah
5/22/2000,MG,SJF,GB to Tatoosh to Sekiu to GB,39,2.73,2,2,Rasmussen Creek and off Ray's,same Er
5/23/2000,MG,SJF,GB to Gut and Gut to GB,12,0.7,0,0,,
5/23/2000,MG,NWC,Tatoosh to Sand Pt and return,40,2.5,1,1,off Duk Point,
5/30/2000,MG,SJF,GB to Sekiu and return,27,1.75,1,1,Snow Creek (resighted on return),
6/2/2000,MG,NPS,"Everett, Camano Is, Whidbey Is, and return",67,3.67,7,7,"w. of jetty, Camano Hd., Sandy Pt.",16' Gregor
6/5/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
6/5/2000,PJG ,NWC,Tatoosh to West Bodelteh,16,2,0,0,,
6/5/2000,MG,NWC,Ozette R. mouth to Sand Pt to Gut,26,1.23,0,0,,Shortraker
6/6/2000,MG,SJF,GB to Gut and Gut to GB,12,0.7,0,0,,R2
6/6/2000,MG,NWC,Gut to Ozette R. mouth and return,24,1.3,0,0,,R2
6/7/2000,MG,SJF,GB to Sekiu and return,27,1.57,1,1,3rd Beach (later same Er @ Snow Crk),R2
6/16/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
6/16/2000,PJG ,NWC,Tatoosh to Guano Rock,14,1.5,0,0,,
6/30/2000,MG,SJF,"GB, Snow Crk, Gut, to GB",17,1.38,0,0,,R2
7/1/2000,MG,SJF,GB to Gut and Gut to GB,12,0.88,0,0,,R2
7/1/2000,MG,NWC,Tatoosh to Sand Pt and return,40,2.9,0,0,,R2
7/2/2000,MG,SJF,GB to Sekiu and return,27,1.43,1,1,east of Bullman Beach,Shortraker
7/13/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
7/18/2000,MG,SJF,"GB, Sekiu, Gut, to GB",39,2.03,1,1,Third Beach,
7/18/2000,MG,NWC,Gut to Sand Point and return,40,2.23,1,1,Skagway,
7/25/2000,PJG ,SJF,GB to Rasmussen Creek,4.75,0.5,0,0,,
7/25/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
7/25/2000,PJG ,NWC,Tatoosh to Portage Head,7,1,0,0,,
7/26/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
7/26/2000,PJG ,NWC,Tatoosh to Sand Point,20,2.5,0,0,,
8/17/2000,MG,SVI,Pt San Juan to Cape Beale,34,2.22,6,6,Pachena Pt to Cape Beale,R2
8/18/2000,MG,WVI,Ucluelet to Yuquot,70,5.62,14,9,"Matlahaw, Estevan, Perez, Escalante",R2
8/19/2000,MG,WVI,"Yuquot, Bajo, NW of Skuna Bay",20,2.25,5,5,inner and outer Bajo Reef,R2
8/20/2000,MG,WVI,Yuquot to Estevan Point,14,1.08,15,14,"Split Cape, Perez Rocks, Estevan",R2
8/21/2000,MG,WVI,Templar Channel to Wickaninnish,10,0.67,0,0,,R2
8/21/2000,MG,SVI,Ucluelet Inlet to Imperial Channel,12,0.65,2,2,west of Wouwer Island,R2
8/30/2000,MG,SJF,"GB,1/2way Sekiu/Kydaka, Gut, GB",36,2.37,0,0,,R2
9/6/2000,PJG ,SJF,GB to Tatoosh,6,0.5,1,1,mouth of Neah Bay Hbr.,
9/6/2000,PJG ,NWC,Tatoosh to Sea Lion Rock,28,4,1,1,South Ozette Island,
9/7/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
9/18/2000,PJG ,SJF,GB to Tatoosh ,6,0.5,0,0,,
9/18/2000,PJG ,NWC,Tatoosh to West Bodelteh,16,2,1,1,Portage Head,
9/18/2000,PJG ,SJF,Tatoosh to GB,6,0.5,1,1,off Green Buoy,
9/19/2000,PJG ,SVI,Carmanah to Cape Beale,21.25,,2,0,Near Tsusiat Falls-fog,fog
9/19/2000,PJG ,SVI,Cape Beale to Folger,3,0.5,0,0,,
9/19/2000,PJG ,SVI,Folger to Wouwer Is.,5,0.5,0,0,,
9/19/2000,PJG ,SVI,Wouwer to Ucluelet,9,1,0,0,,
9/20/2000,PJG ,SVI,Ucluelet to Sargison Bank,3,0.5,0,0,,
9/20/2000,PJG ,SVI,Sargison Bank to Wouwer ,7,1,0,0,,
9/20/2000,PJG ,SVI,Wouwer Is. To Folger Is.,5,0.5,0,0,,
9/20/2000,PJG ,SVI,Folger to Ucluelet,14,1.5,1,1,Sykes Reef,
9/21/2000,PJG ,WVI,Tofino to Ahousat,12,1.5,0,0,inside track,
9/21/2000,PJG ,WVI,Ahousat to Hot Springs,16,1.5,0,0,inside track,
9/21/2000,PJG ,WVI,Hot Springs to Yuquot,28,3,2,0,"1-Hesquiat,1-Escalante",
9/22/2000,PJG ,WVI,Yuquot to N. Bajo Point,11,2,4,3,"Yuquot-1, Bajo-3",
9/22/2000,PJG ,WVI,Yuquot to Hot Springs,28,4,14,13,Split Cape to S. Perez Rcks,
9/22/2000,PJG ,WVI,Hot Springs to Ucluelet,41,5,0,0,outside track,
9/23/2000,PJG ,SVI,Ucluelet to Cape Beale,17,3,7,7,"1-Starlight Rf, 6-Cape Beale",
9/23/2000,PJG ,SVI,Cp. Beale to 3nm E Bonilla,26,3,13,12,Pachena Bay to Carmanah,
10/3/2000,MG,SJF,"GB, Sekiu, Gut, to GB",42.4,2.6,2,2,Sail Rock,R2
10/3/2000,MG,NWC,Gut to Sand Point and return,40,3.5,2,2,Ozette Is. and Father and Son ,R2
10/11/2000,PJG ,SJF,GB to Sekiu,13.5,1.5,1,1,Sail River,
10/12/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
10/12/2000,PJG ,NWC,Tatoosh to Sand Point,20,3,4,3,"And Pt. -2, Wt Rck-1, Pt Arch-1",
10/13/2000,PJG ,SJF,GB to Kydaka Pt.,10.5,1.5,1,0,Bullman Beach,
10/25/2000,PJG ,SJF,GB to Sekiu,13.5,1.5,0,0,,
10/26/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
10/27/2000,PJG ,SJF,GB to Sekiu,13.5,1.5,0,0,,
10/31/2000,MG,SJF,GB to Tatoosh and return,12,0.93,1,1,Slant Rock,R2
10/31/2000,MG,NWC,Tatoosh to Sand Point and return,40,3.87,7,5,"1-Greenbank, 1-Portage Hd, 1- E. Bodelteh, 4-S. Ozette Is",R2
11/1/2000,MG,SJF,GB to Sekiu and return,27,2.32,0,0,,R2
11/16/2000,PJG ,SJF,GB to Sekiu,13.5,1.5,0,0,,
11/16/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
11/17/2000,PJG ,SJF,GB to Tatoosh,6,0.5,0,0,,
11/17/2000,PJG ,NWC,Tatoosh to East Bodeleteh,16,2,1,0,Green bank,
11/17/2000,PJG ,NWC,East Bodeleteh to Tatoosh,16,3,0,0, 7-8 mph-engine problem,
3/14/2001,PJG,SJF,NB to Sekiu,13,1.5,0,0,,
3/14/2001,PJG,SJF,NB to Koitlah Pt.,3,0.5,0,0,,
3/22/2001,MG,NPS,Saratoga Passage (to Elger Bay),30,2.58,2,2,between Camano Head and Mabana,16' Gregor
4/24/2001,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
4/24/2001,PJG,SJF,NB to Rasmussen Creek,4,0.5,0,0,,
4/25/2001,MG,NPS,Port Susan and Saratoga Passage,69,4.77,2,0,off Elger Bay in middle of Pass; off Lowell Point,3 orcas seen at Mabana; 16' Gregor
4/25/2001,PJG,NWC,Tatoosh to Sea Lion Rock,27.5,2,0,0,,
4/25/2001,PJG,SJF,Tatoosh to NB,6,0.5,0,0,,
5/11/2001,MG,NPS,Saratoga Passage ,65,5,0,0,,21' whaler
5/22/2001,PJG,NWC,Tatoosh to Sea Lion Rock,27.5,2,1,0,So. Of Pt of Arches,
5/22/2001,PJG,NWC,Pt. Of Arches to Tatoosh,9,2.5,0,0,,"run on kicker, big motor broke"
5/22/2001,PJG,SJF,NB to Tatoosh,6,0.5,0,0,,
5/22/2001,PJG,SJF,Tatoosh to NB,6,1.5,0,0,,"run on kicker, big motor broke"
5/25/2001,MG,NPS,Port Susan and Saratoga Passage,86,4.27,0,0,,21' whaler; 1 Pd @ Holmes Harbor
6/13/2001,MG/PJG,NWC,Tatoosh to Carroll Island,27,2,2,2,south of Sand Point,R 2
6/13/2001,MG/PJG,SJF,NB to Tatoosh; Gut to NB,12,0.67,0,0,,R 2
6/26/2001,MG,NWC,Tatoosh to Carroll Island and return,54,3.5,4,4,2 east of Hand Rock; 1 Bodeltehs; 1 Green Bank,R2
6/26/2001,MG,SJF,NB to Tatoosh; Gut to NB,12,0.65,0,0,,R2
6/27/2001,MG,SJF,NB to Sekiu;Sekiu to Kydaka Pt,16.5,1.62,1,1,west of Rasmussen Creek,R2; rain and mist; poor viz
6/28/2001,MG,SVI,Point San Juan to Cape Beale,36,2.52,25,23,Bonilla(2); Carmanah(1); Klanawa(6); Klan./Darling(3); Pachena Pt(1); Pachena Bay(5); Cape Beale(7),R2
